Account Name,Description,Account No,Type,Balance,Tax Code,Bank Acc Name,BSB,Bank Acc No
Test Act,Description 1, 12345,AP, 0.00,NT, , ,
Test Act 2, Description 2, 5678,AR, 0.00,NT, , ,
Test Act 3 , Description 3, 6754,EQUITY, 0.00,NT, , ,
Test Act 4, Description 4, 34567,BANK, 0.00,NT, , ,
Test Act 5, Description 5, 8954,COGS, 0.00,NT, , ,
Test Act 6, Description 6, 2346,CCARD, 0.00,NT, , ,
Test Act 7, Description 7, 985454,EXP, 0.00,NT, , ,
Test Act 8, Description 8, 34567,FIXASSET, 0.00,NT, , ,
Test Act 9, Description 9, 9755,INC, 0.00,NT, , ,
Test Act 10, Description 10, 8765,LTLIAB, 0.00,NT, , ,
Test Act 11, Description 11, 7658,OASSET, 0.00,NT, , ,
Test Act 12, Description 12, 6548,OCASSET, 0.00,NT, , ,
Test Act 13, Description 13, 5678,OCLIAB, 0.00,NT, , ,
Test Act 14, Description 14, 4761,EXEXP, 0.00,NT, , ,
Test Act 15, Description 15, 3456,EXINC, 0.00,NT, , ,
